CLICKS,IMPRESSIONS,COST,BID,TARGET_CONV
0,1,0,7.2,0
0,1,0,7.2,0
0,2,0,0.28,0
0,2,0,7.42,0
0,3,0,0.28,0
0,1,0,7.42,0
0,1,0,7.42,0
0,1,0,7.42,0
0,2,0,7.42,0
0,2,0,7.42,0
0,3,0,0.28,0
0,1,0,7.42,0
0,4,0,7.42,0
0,2,0,7.42,0
0,1,0,7.42,0
0,1,0,7.42,0
0,7,0,7.42,0
0,4,0,6.68,0
0,2,0,6.68,0
0,2,0,6.68,0
0,1,0,7.42,0
0,1,0,7.42,0
0,1,0,7.42,0
0,1,0,7.42,0
0,1,0,6.94,0
0,1,0,6.99,0
0,1,0,6.68,0
0,3,0,6.99,0
0,3,0,6.99,0
0,2,0,6.99,0
0,1,0,4.68,0
0,1,0,6.99,0
0,1,0,6.99,0
0,1,0,6.99,0
1,3,7.71,6.99,0
0,2,0,6.99,0
0,1,0,6.99,0
0,1,0,6.99,0
0,1,0,6.99,0
0,1,0,6.99,0
0,1,0,6.99,0
0,2,0,6.99,0
0,1,0,5.68,0
0,2,0,6.99,0
0,1,0,6.68,0
0,1,0,6.99,0
0,1,0,7.49,0
0,1,0,7.68,0
0,3,0,4.68,0
0,2,0,6.89,0
0,2,0,6.68,0
0,1,0,6.68,0
0,6,0,2.38,0
0,2,0,4.72,0
0,7,0,2.38,0
0,1,0,2.55,0
0,1,0,6.68,0
0,3,0,2.94,0
0,1,0,4.68,0
0,2,0,10.68,0
0,4,0,10.18,0
0,4,0,10.68,0
0,2,0,0.28,0
0,1,0,10.68,0
0,2,0,10.68,0
0,6,0,8.46,0
0,7,0,8.46,0
0,2,0,8.46,0
1,1,3.39,8.46,0
0,5,0,8.46,0
0,4,0,6.68,0
0,1,0,6.68,0
0,1,0,6.68,0
0,5,0,6.68,0
0,0,0,6.68,0
0,8,0,6.68,0
0,14,0,6.68,0
0,1,0,6.68,0
0,2,0,7.18,0
0,4,0,6.46,0
0,1,0,6.46,0
0,4,0,6.46,0
0,1,0,7.6,0
1,6,1.23,7.6,0
0,2,0,7.6,0
0,2,0,7.6,0
0,4,0,7.6,0
0,1,0,8.6,0
0,1,0,8.6,0
0,2,0,8.6,0
0,3,0,7.6,0
0,2,0,7.6,0
0,2,0,7.6,0
0,5,0,7.6,0
0,1,0,7.6,0
0,1,0,0.28,0
0,6,0,8.33,0
0,1,0,8.33,0
0,2,0,8.33,0
0,1,0,6.68,0
0,2,0,0.28,0
0,9,0,6.68,0
0,2,0,6.68,0
0,1,0,6.68,0
0,6,0,7.18,0
0,7,0,0.28,0
0,3,0,7.68,0
0,5,0,7.68,0
0,3,0,8.33,0
0,3,0,8.33,0
0,2,0,8.83,0
0,9,0,6.68,0
0,4,0,8.33,0
0,1,0,0.28,0
0,2,0,8.83,0
0,2,0,8.33,0
0,5,0,8.33,0
0,2,0,0.28,0
0,2,0,7.68,0
0,5,0,8.18,0
0,7,0,8.33,0
0,2,0,8.18,0
0,2,0,8.33,0
0,4,0,8.33,0
0,2,0,7.68,0
1,4,3.76,7.68,0
0,2,0,0.28,0
0,2,0,7.68,0
1,5,3.32,0.28,0
0,6,0,7.68,0
0,2,0,8.33,0
0,9,0,8.33,0
0,2,0,8.33,0
0,2,0,7.68,0
0,1,0,6.68,0
0,2,0,8.33,0
0,2,0,8.21,0
0,2,0,7.68,0
0,1,0,,0
0,1,0,6.68,0
0,2,0,6.68,0
0,1,0,5.18,0
0,1,0,0.27,0
0,4,0,4.68,0
0,1,0,7.49,0
0,1,0,0.28,0
0,2,0,4.68,0
0,1,0,7.49,0
0,1,0,7.49,0
0,2,0,7.49,0
0,3,0,7.49,0
0,6,0,7.49,0
0,4,0,7.49,0
0,3,0,7.49,0
0,2,0,7.49,0
1,7,5.08,7.49,0
0,8,0,7.99,0
0,8,0,0.28,0
0,1,0,7.49,0
0,3,0,7.49,0
0,1,0,7.49,0
0,1,0,7.49,0
0,1,0,6.18,0
0,3,0,7.99,0
0,1,0,0.28,0
1,6,6.74,7.49,0
0,1,0,7.49,0
0,2,0,7.49,0
0,1,0,7.49,0
0,6,0,7.49,0
0,1,0,7.49,0
0,1,0,6.68,0
0,4,0,0.28,0
0,2,0,7.99,0
0,4,0,7.99,0
0,1,0,0.28,0
0,3,0,7.49,0
0,5,0,7.49,0
0,2,0,7.49,0
0,3,0,7.49,0
0,1,0,7.49,0
0,1,0,7.49,0
0,3,0,7.49,0
0,1,0,7.49,0
0,1,0,7.49,0
0,3,0,7.49,0
1,5,3.92,7.49,0
0,2,0,0.28,0
0,1,0,7.49,0
0,2,0,7.99,0
0,1,0,7.49,0
0,3,0,9.49,0
0,1,0,8.99,0
0,4,0,7.49,0
0,1,0,7.49,0
0,1,0,7.49,0
0,2,0,7.99,0
0,3,0,7.49,0
0,2,0,6.99,0
0,2,0,7.49,0
0,4,0,7.49,0
0,1,0,6.96,0
0,1,0,6.96,0
0,1,0,6.96,0
0,1,0,4.68,0
0,2,0,6.96,0
0,1,0,7.46,0
0,3,0,7.46,0
0,3,0,7.46,0
0,2,0,0.28,0
1,2,5.11,6.96,0
0,13,0,6.96,0
0,2,0,6.68,0
0,2,0,6.96,0
1,2,5.64,6.96,0
0,2,0,6.96,0
0,3,0,6.96,0
0,1,0,6.96,0
0,3,0,6.68,0
0,2,0,7.18,0
1,3,3.83,7.18,0
0,2,0,7.18,0
0,3,0,7.18,0
0,1,0,7.18,0
0,1,0,6.68,0
1,1,1.62,0.28,0
0,1,0,6.68,0
0,1,0,6.68,0
0,1,0,6.46,0
0,1,0,2.86,0
0,1,0,2.86,0
0,1,0,6.46,0
0,1,0,6.46,0
0,5,0,6.46,0
0,2,0,0.28,0
1,4,4.62,8.42,0
0,1,0,8.42,0
0,2,0,8.92,0
0,1,0,8.92,0
0,5,0,8.42,0
0,5,0,8.42,0
0,1,0,0.28,0
0,3,0,0.28,0
0,1,0,2.86,0
0,1,0,8.42,0
0,1,0,0.28,0
0,2,0,7.92,0
0,2,0,7.92,0
0,3,0,8.42,0
0,1,0,8.42,0
0,2,0,8.42,0
0,8,0,8.42,0
0,2,0,0.28,0
0,5,0,8.92,0
0,2,0,9.42,0
0,2,0,9.42,0
0,4,0,0.28,0
0,6,0,9.92,0
0,1,0,8.42,0
0,2,0,8.42,0
0,2,0,8.42,0
0,1,0,8.42,0
0,4,0,8.42,0
0,3,0,8.42,0
0,2,0,8.42,0
1,3,5.93,8.42,0
0,1,0,6.46,0
0,2,0,7.68,0
0,1,0,7.68,0
0,2,0,8.92,0
0,3,0,8.42,0
0,1,0,8.68,0
0,3,0,5.68,0
0,1,0,9.5,0
0,1,0,10,0
0,4,0,6.76,0
0,4,0,9.18,0
0,1,0,9.5,0
0,1,0,9.5,0
0,4,0,9.5,0
0,3,0,9.5,0
0,2,0,0.28,0
0,3,0,6.68,0
0,1,0,6.68,0
1,1,4.78,6.68,0
0,0,0,7.18,0
0,14,0,7.18,0
0,2,0,7.68,0
2,4,8.25,7.68,0
0,2,0,9.5,0
0,1,0,9.5,0
0,1,0,0.28,0
0,6,0,6.68,0
0,1,0,6.68,0
0,3,0,7.18,0
0,2,0,7.68,0
0,5,0,0.28,0
0,2,0,9.5,0
0,1,0,10,0
0,1,0,10,0
0,2,0,9.5,0
0,5,0,9.5,0
0,4,0,9.5,0
0,1,0,9.5,0
0,5,0,9.5,0
0,2,0,9.5,0
0,2,0,6.68,0
0,1,0,6.68,0
0,1,0,6.68,0
0,2,0,9.5,0
0,10,0,9.5,0
0,3,0,9.5,0
0,6,0,10,0
0,4,0,7.68,0
0,3,0,7.68,0
0,3,0,7.68,0
0,2,0,0.28,0
0,3,0,6.68,0
0,1,0,4.68,0
0,2,0,7.68,0
0,2,0,8.18,0
0,1,0,6.68,0
1,7,5.69,9.5,0
0,1,0,9.5,0
0,2,0,9.18,0
0,1,0,8.68,0
0,2,0,8.18,0
0,1,0,8.18,0
0,4,0,7.68,0
0,2,0,7.18,0
0,5,0,6.68,0
0,5,0,9.5,0
0,6,0,9.5,0
0,1,0,0.28,0
0,3,0,10,0
0,6,0,9.18,0
0,9,0,9.5,0
0,10,0,8.18,0
0,11,0,8.18,0
0,2,0,0.26,0
1,2,7.08,6.68,0
0,9,0,9.5,0
0,3,0,9.68,0
0,1,0,9.68,0
0,3,0,7.68,0
0,1,0,7.68,0
0,4,0,6.68,0
0,2,0,7.18,0
0,1,0,6.68,0
0,2,0,6.68,0
0,4,0,6.68,0
1,6,6.22,6.68,0
0,1,0,7.68,0
0,1,0,7.68,0
0,1,0,0.28,0
0,3,0,0.28,0
0,2,0,6.68,0
0,2,0,6.68,0
0,10,0,6.68,0
0,2,0,6.68,0
0,4,0,6.68,0
0,4,0,5.68,0
0,7,0,9.5,0
1,4,11.39,9.5,1
0,3,0,8.68,0
0,1,0,8.68,0
0,2,0,7.68,0
0,1,0,7.68,0
0,5,0,7.68,0
1,3,5.19,7.68,1
0,4,0,7.68,0
1,4,7.07,8.49,0
0,1,0,4.68,0
1,1,5.73,5.68,0
0,1,0,5.68,0
0,2,0,7,0
0,2,0,0.28,0
0,2,0,7.5,0
0,12,0,9.18,0
0,2,0,8.68,0
0,1,0,9.18,0
1,2,3.77,7.68,0
0,4,0,7.68,0
1,12,6.34,7.68,0
0,1,0,6.68,0
0,1,0,6.68,0
0,2,0,6.68,0
0,2,0,5.38,0
0,2,0,5.38,0
0,1,0,9.5,0
0,2,0,9.5,0
0,2,0,9.18,0
0,3,0,7.68,0
0,2,0,7.68,0
0,4,0,6.6,0
0,1,0,6.6,0
1,4,5.81,6.6,0
0,2,0,4.68,0
0,2,0,7.68,0
0,2,0,7.68,0
0,4,0,8.18,0
0,1,0,8.18,0
0,1,0,8.68,0
0,2,0,8.68,0
0,4,0,9.18,0
0,4,0,9.18,0
0,5,0,7.68,0
0,4,0,6.68,0
1,7,5.61,9.5,0
0,2,0,9.68,0
0,7,0,9.5,0
0,2,0,7.68,0
0,1,0,6.68,0
0,2,0,6.68,0
0,3,0,6.68,0
0,1,0,6.68,0
0,1,0,,0
0,0,0,,0
0,1,0,,0
0,1,0,,0
0,1,0,,0
0,0,0,,0
0,1,0,,0
0,1,0,,0
0,0,0,,0
0,4,0,,0
0,1,0,,0
0,1,0,,0
0,1,0,,0
0,1,0,,0
0,3,0,8.13,0
0,6,0,4.68,0
0,4,0,8.13,0
0,2,0,8.63,0
0,1,0,8.13,0
1,7,1.56,8.13,0
0,1,0,0.28,0
0,2,0,8.13,0
0,1,0,8.13,0
0,0,0,0.28,0
0,1,0,8.13,0
0,2,0,8.13,0
0,1,0,6.18,0
0,2,0,8.13,0
0,1,0,0.28,0
0,3,0,8.14,0
0,2,0,8.14,0
0,2,0,8.14,0
0,2,0,8.14,0
0,1,0,8.14,0
0,2,0,8.14,0
0,1,0,8.14,0
0,1,0,8.14,0
0,4,0,8.14,0
0,2,0,8.14,0
0,2,0,8.14,0
0,1,0,8.14,0
0,3,0,8.14,0
0,1,0,8.14,0
0,1,0,10.14,0
0,4,0,10.14,0
0,6,0,8.14,0
0,1,0,0.28,0
1,2,3.35,7.97,0
0,2,0,7.97,0
0,2,0,5.68,0
0,4,0,5.68,0
0,1,0,5.68,0
0,2,0,0.28,0
0,3,0,6.18,0
0,1,0,6.68,0
0,3,0,6.68,0
0,1,0,7.01,0
0,1,0,7.51,0
0,1,0,8.01,0
0,1,0,7.01,0
0,7,0,7.01,0
0,1,0,7.01,0
0,2,0,0.28,0
0,2,0,7.01,0
0,4,0,7.01,0
0,1,0,7.01,0
0,1,0,6.68,0
1,7,2.76,6.68,0
0,2,0,8.56,0
0,2,0,6.68,0
0,5,0,8.56,0
0,2,0,0.28,0
0,3,0,8.56,0
0,0,0,7.68,0
0,2,0,7.68,0
0,1,0,7.68,0
1,1,3.31,6.68,0
0,4,0,4.68,0
0,6,0,4.68,0
0,3,0,4.68,0
0,6,0,4.68,0
0,2,0,8.56,0
0,3,0,7.68,0
0,1,0,6.68,0
1,2,3.83,8.56,0
0,2,0,7.68,0
1,1,3.08,7.68,0
1,2,1.39,6.68,0
0,2,0,0.28,0
0,6,0,8.56,0
0,2,0,9.06,0
0,2,0,7.68,0
0,1,0,6.68,0
0,1,0,6.68,0
0,2,0,7.68,0
0,2,0,6.68,0
0,1,0,0.28,0
0,1,0,6.68,0
0,5,0,5.68,0
0,6,0,5.68,0
0,1,0,5.68,0
0,2,0,8.56,0
0,2,0,6.68,0
0,4,0,8.56,0
0,3,0,9.06,0
0,1,0,9.18,0
0,1,0,9.04,0
0,4,0,9.04,0
0,3,0,9.54,0
0,4,0,9.18,0
0,3,0,9.18,0
0,3,0,9.18,0
0,5,0,7.68,0
1,2,4.24,6.68,0
0,3,0,6.68,0
0,2,0,,0
1,2,3.07,4.68,0
0,1,0,4.68,0
0,4,0,6.26,0
0,1,0,6.76,0
0,1,0,6.76,0
0,1,0,6.26,0
0,2,0,6.26,0
0,2,0,6.26,0
0,4,0,6.26,0
0,2,0,6.26,0
0,2,0,6.27,0
0,1,0,6.27,0
1,4,2.67,0.28,0
0,6,0,6.27,0
1,6,3.18,6.27,0
0,2,0,6.27,0
0,4,0,8.27,0
0,2,0,0.28,0
0,1,0,6.68,0
0,1,0,7.18,0
0,1,0,5.68,0
0,2,0,5.68,0
0,1,0,5.68,0
1,0,3.2,6.68,0
0,1,0,5.68,0
0,1,0,3.34,0
0,2,0,2.88,0
0,1,0,6.68,0
0,2,0,6.36,0
0,4,0,6.36,0
0,0,0,6.36,0
0,2,0,6.36,0
0,1,0,6.36,0
0,2,0,6.36,0
0,5,0,6.36,0
0,1,0,6.36,0
0,2,0,7.13,0
1,2,2.92,6.73,0
0,2,0,6.68,0
0,2,0,7.18,0
0,1,0,7.18,0
0,1,0,6.68,0
0,2,0,7.18,0
0,2,0,7.18,0
1,2,2.84,6.73,0
0,2,0,6.73,0
0,2,0,7.23,0
0,2,0,6.73,0
0,2,0,6.68,0
1,5,2.94,6.73,0
0,3,0,6.73,0
0,2,0,6.73,0
0,1,0,6.23,0
0,1,0,6.73,0
1,3,4.78,6.73,0
0,3,0,6.73,0
0,2,0,0.28,0
0,1,0,6.73,0
0,1,0,6.68,0
0,1,0,7.23,0
0,3,0,7.68,0
0,1,0,6.68,0
0,4,0,6.68,0
0,1,0,6.68,0
0,2,0,6.73,0
0,4,0,6.73,0
0,2,0,7.68,0
0,1,0,7.68,0
0,2,0,5.68,0
0,1,0,5.68,0
0,4,0,6.73,0
0,4,0,7.1,0
0,2,0,7.1,0
0,3,0,7.1,0
0,1,0,7.17,0
0,1,0,0.28,0
0,1,0,9.17,0
0,2,0,7.17,0
0,1,0,7.67,0
0,1,0,7.17,0
0,1,0,7.17,0
0,2,0,7.17,0
0,1,0,6.68,0
0,2,0,7.17,0
0,1,0,6.68,0
0,1,0,7.17,0
0,2,0,,0
0,1,0,,0
0,1,0,3.19,0
0,1,0,0.28,0
0,2,0,3.19,0
0,2,0,3.19,0
0,2,0,3.19,0
0,1,0,,0
0,6,0,4.68,0
0,6,0,13.04,0
0,3,0,13.04,0
0,4,0,0.28,0
0,2,0,0.27,0
0,3,0,13.04,0
0,7,0,13.04,0
0,2,0,13.04,0
0,1,0,13.04,0
0,1,0,13.04,0
0,6,0,13.04,0
0,2,0,0.28,0
0,2,0,0.28,0
0,2,0,0.28,0
0,2,0,13.04,0
0,3,0,13.04,0
0,2,0,15.04,0
0,2,0,15.04,0
0,1,0,0.28,0
0,1,0,13.04,0
0,4,0,8.18,0
0,5,0,13.54,0
0,1,0,5.68,0
0,1,0,6.68,0
0,1,0,3.34,0
0,1,0,2.88,0
0,1,0,6.68,0
0,3,0,6.68,0
0,2,0,10.6,0
0,3,0,10.6,0
0,6,0,10.6,0
0,1,0,10.6,0
0,11,0,10.6,0
0,2,0,10.6,0
0,2,0,0.28,0
0,2,0,10.6,0
0,2,0,10.6,0
0,2,0,9.68,0
1,4,5.25,6.68,0
0,2,0,13.62,0
0,6,0,14.12,0
0,1,0,6.68,0
0,2,0,13.62,0
0,2,0,13.62,0
1,1,2.42,13.62,0
0,2,0,7.68,0
0,5,0,6.68,0
0,1,0,9.68,0
0,1,0,7.18,0
0,2,0,7.68,0
0,2,0,0.28,0
0,2,0,6.68,0
0,1,0,9.68,0
0,8,0,9.68,0
0,93,0,9.68,0
0,28,0,7.68,0
0,11,0,0.26,0
0,15,0,6.68,0
1,24,2.44,6.68,0
0,13,0,6.68,0
0,11,0,7.18,0
1,18,2.7,7.68,0
0,46,0,8.18,0
0,11,0,0.28,0
3,69,7.75,0.28,0
0,44,0,7.68,0
0,20,0,0.26,0
1,2,2.56,6.68,0
0,1,0,6.68,0
0,2,0,13.62,0
0,6,0,5.68,0
0,1,0,6.68,0
1,1,2.88,9.68,0
0,2,0,9.68,0
0,2,0,9.18,0
0,2,0,9.18,0
0,2,0,6.68,0
0,1,0,14.38,0
0,1,0,7.68,0
0,1,0,7.68,0
0,5,0,6.68,0
0,2,0,6.68,0
0,0,0,,0
0,0,0,,0
0,1,0,,0
0,1,0,,0
0,2,0,5.79,0
0,1,0,4.79,0
0,1,0,4.79,0
0,1,0,4.68,0
0,1,0,6.68,0
0,3,0,8.45,0
0,1,0,8.45,0
0,1,0,8.45,0
0,1,0,6.68,0
0,1,0,6.68,0
0,1,0,,0
0,1,0,2.68,0
0,1,0,6.06,0
0,6,0,6.06,0
0,4,0,6.06,0
0,2,0,6.06,0
0,3,0,0.28,0
0,2,0,5.68,0
0,2,0,6.25,0
0,2,0,6.25,0
0,4,0,6.25,0
0,2,0,6.25,0
0,2,0,8.25,0
0,3,0,6.25,0
1,5,3.07,6.25,0
0,2,0,6.25,0
0,1,0,0.28,0
0,3,0,5.68,0
0,1,0,5.68,0
1,2,4.32,6.68,0
0,2,0,6.68,0
0,3,0,6.68,0
1,2,3.13,6.25,0
0,2,0,2.86,0
0,1,0,6.46,0
0,1,0,6.25,0
0,2,0,6.75,0
0,3,0,7.25,0
0,2,0,6.25,0
1,1,2.23,2.86,0
0,1,0,6.25,0
0,9,0,6.25,0
0,2,0,6.75,0
0,8,0,6.25,0
3,7,8.16,6.25,0
0,4,0,6.25,0
0,3,0,6.33,0
0,1,0,6.33,0
0,1,0,3.1,0
0,1,0,,0
0,1,0,1.99,0
0,2,0,6.68,0
0,2,0,6.68,0
0,1,0,2.06,0
0,1,0,2.06,0
0,2,0,,0
0,1,0,,0
0,1,0,,0
0,1,0,,0
0,1,0,,0
0,1,0,,0
0,1,0,,0
0,1,0,,0
0,7,0,3.84,0
0,1,0,3.84,0
0,1,0,0.1,0
0,1,0,0.1,0
0,1,0,0.1,0
0,1,0,0.1,0
0,1,0,,0
0,1,0,,0
0,0,0,,0
0,0,0,7.05,0
0,1,0,,0
0,1,0,1.66,0
0,1,0,4.4,0
0,2,0,4.4,0
0,1,0,4.4,0
0,1,0,4.4,0
0,1,0,4.4,0
0,1,0,4.4,0
0,1,0,4.4,0
0,1,0,4.4,0
0,1,0,4.34,0
0,3,0,4.34,0
0,1,0,,0
0,1,0,,0
0,1,0,0.1,0
0,1,0,0.1,0
0,1,0,,0
0,0,0,,0
0,0,0,,0
0,0,0,,0
0,1,0,,0
0,1,0,,0
0,1,0,,0
0,1,0,,0
0,1,0,4.68,0
0,1,0,0.28,0
0,1,0,5.46,0
0,1,0,5.64,0
0,2,0,5.52,0
0,2,0,5.72,0
0,2,0,5.72,0
0,1,0,5.72,0
0,2,0,5.72,0
0,1,0,5.72,0
0,1,0,5.72,0
0,1,0,5.32,0
0,1,0,5.32,0
0,0,0,5.32,0
0,1,0,5.32,0
0,1,0,5.32,0
0,1,0,5.32,0
0,2,0,5.32,0
0,3,0,5.32,0
0,1,0,4.68,0
0,2,0,,0
0,2,0,,0
0,0,0,,0
0,1,0,4.68,0
0,1,0,4.68,0
0,1,0,4.68,0
0,1,0,4.68,0
0,1,0,10.26,0
0,2,0,4.68,0
0,2,0,10.26,0
0,1,0,0.28,0
0,1,0,10.26,0
0,1,0,10.26,0
0,1,0,0.28,0
0,2,0,10.26,0
0,1,0,6.18,0
